cu_num,M,N,K,kernelId,splitK,us,kernelName
256,1024,26624,16384,21,0,240.4895,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,1024,53248,16384,21,0,568.4868,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,2304,16384,21,0,108.8889,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,4608,16384,22,0,115.5181,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E
256,2048,9216,16384,21,0,223.9904,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,13312,16384,21,0,238.795,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,16384,2048,21,0,48.2561,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,16384,4096,21,0,74.5022,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,16384,6656,21,0,102.0232,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,16384,8192,21,0,132.5113,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,16384,13312,21,0,201.9408,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,16384,26624,21,0,402.1677,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,26624,16384,21,0,455.1222,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,2048,53248,16384,23,0,1020.5831,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E
256,4096,2304,16384,21,0,111.9014,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,4608,16384,21,0,229.3561,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,9216,16384,21,0,332.5793,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,13312,16384,21,0,452.543,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,16384,2048,21,0,89.4208,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,16384,4096,21,0,143.3347,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,16384,6656,21,0,187.1434,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,16384,8192,21,0,241.4522,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,16384,13312,21,0,375.9024,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,16384,26624,21,0,774.919,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,26624,16384,21,0,815.3837,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,4096,53248,16384,23,0,1873.5902,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E
256,8192,2304,16384,21,0,206.6824,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,4608,16384,21,0,343.9039,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,9216,16384,21,0,575.8693,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,13312,16384,21,0,817.9465,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,16384,2048,21,0,173.5314,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,16384,4096,21,0,273.4299,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,16384,6656,21,0,367.9599,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
256,8192,16384,8192,21,0,479.4436,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E
